Country,Happiness Score,Year,EG.ELC.ACCS.ZS,SE.PRM.TENR,NY.ADJ.NNTY.KD.ZG,NY.ADJ.NNTY.PC.KD.ZG,NY.ADJ.AEDU.GN.ZS,NY.ADJ.ICTR.GN.ZS,SP.POP.DPND,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SE.XPD.PRIM.ZS,SE.XPD.SECO.ZS,GC.XPN.TOTL.GD.ZS,SH.XPD.EHEX.CH.ZS,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD.ZG,NY.GDS.TOTL.ZS,SE.ADT.1524.LT.ZS,NV.IND.MANF.KD.ZG,SH.DYN.NMRT,SH.DYN.MORT,SP.POP.TOTL,SE.SEC.ENRL.TC.ZS,SE.PRM.ENRL.TC.ZS,EG.FEC.RNEW.ZS,AG.SRF.TOTL.K2,GC.TAX.TOTL.GD.ZS,NE.TRD.GNFS.ZS,SL.UEM.TOTL.NE.ZS,FP.WPI.TOTL
Afghanistan,3.575,2015,71.5,..,..,..,2.64374189312687,-10.28844725,88.7687273393836,33.98,6.924,56.69549,24.3563,37.0225695736427,16.44546401,1.99071114189938E10,1.45131465458005,2.94818036425211,..,0.409391082824413,41.5,73.1,33736494,37.72088,44.32877,18.4234771693218,652860,7.58538233129798,55.1255265979591,..,..
Albania,4.959,2015,100,95.59661,4.61846802464052,4.92356707507196,3.22728502181027,15.80204856,44.0166438612638,11.879,7.217,56.76693,21.58166,24.4461757489854,0.76512774,1.13869314897968E10,2.21999999999991,8.19454970239983,..,4.99999999999999,5.9,9.4,2880703,13.50589,18.61557,38.6152104692153,28750,18.5157898553099,71.8010161004583,17.0799999237061,..
Algeria,5.605,2015,99.3367080688477,99.2671,-2.76044170117467,-4.60959309801964,4.4671956,36.80385887,52.7249187566745,23.9,4.773,..,..,..,0.02604974,1.65979277276907E11,3.76346695783126,37.4289678801955,..,1.84288495687011,15.5,24.9,39871528,..,23.83613,0.0589586840918149,2381740,..,59.6951291204194,11.2061004638672,..
Angola,4.033,2015,42,..,10.4848834385896,6.76162051144182,3.57,-0.451391478,97.5761986937093,42.321,8.683,..,..,20.818831842683,2.7696619,1.16193649124475E11,0.94357561306073,30.8231673301691,..,12.0243365280067,30.6,88.9,27859305,..,50.02951,49.5682103295777,1246700,11.0020191366716,62.8885207849744,..,..
Argentina,6.574,2015,99.9952087402344,99.7343,2.19356665853401,1.16675324575732,5.05731390486252,14.60355782,56.5490070488899,17.364,7.57,30.04134,41.33272,25.0083932347048,0.57692067,5.94749285413212E11,2.73115982828946,15.9957828960867,99.5597,0.765932390755125,6.7,11.4,43417765,..,..,10.040077613914,2780400,12.3365069418291,22.4862260889792,..,..
Armenia,4.35,2015,100,92.80933,-2.1063902247966,-2.46649184905752,2.70019284717504,17.42676423,44.4122587662516,13.808,9.694,19.3593,..,25.0779813488419,1.0829009,1.05533376729872E10,3.20000000000005,8.80828526547093,..,-5.5,7.4,14,2916950,..,..,15.7920038357833,29740,20.931220827141,71.5932653468932,..,..
Australia,7.284,2015,100,97.1200999999999,1.40175548733407,-0.0720121226808459,4.91726265807917,23.60243089,51.0854579040657,12.8,6.6,31.78434,30.52541,26.7895601589733,0,1.34903402945337E12,2.35113644074406,24.6218709217444,..,-1.41569403420225,2.3,3.8,23850784,..,..,9.18050295980786,7741220,22.0428098117434,41.5473873260458,6.05569982528687,..
Austria,7.2,2015,100,..,0.862117671171589,-0.26222543076841,5.21872049640607,25.67132514,49.1656666425614,9.8,9.6,16.56793,39.87736,46.1915253646393,..,3.82065930307978E11,1.09185423166194,27.499755655533,..,0.647181388570857,2.3,3.7,8642699,9.57663,10.58415,34.3949917477854,83879.00390625,26.7793872371983,102.136010417855,5.72270011901855,..
Azerbaijan,5.212,2015,100,94.26275,..,..,2.60701541831002,28.59109432,40.1514174415463,17.2,5.7,..,55.66633,24.7887090842221,0.51146978,5.30743704860433E10,1.0999998090951,30.9016182420008,99.94278,7.70000395067927,13.6,26.4,9649341,..,13.49787,2.31075768577815,86600,15.6031629275469,72.6015079073189,4.96000003814697,..
Bahrain,5.96,2015,100,97.99544,8.20813486794722,5.41130572336004,2.91,..,30.1643071101703,15.111,2.348,32.98692,44.22464,..,..,3.11258510638298E10,2.86196782508222,37.299843121439,..,3.20133459974186,3.2,7.6,1371855,9.86281,11.73164,0,778.000030517578,..,154.067392842373,..,..
