ï»¿Country Name,Year,EG.ELC.ACCS.ZS,SE.PRM.TENR,NY.ADJ.NNTY.KD.ZG,NY.ADJ.NNTY.PC.KD.ZG,NY.ADJ.AEDU.GN.ZS,NY.ADJ.ICTR.GN.ZS,SP.POP.DPND,SP.DYN.CBRT.IN,per_si_allsi.cov_q1_tot,per_si_allsi.cov_q5_tot,per_allsp.cov_pop_tot,per_sa_allsa.cov_pop_tot,SP.DYN.CDRT.IN,SE.XPD.PRIM.ZS,SE.XPD.SECO.ZS,GC.XPN.TOTL.GD.ZS,SH.XPD.EHEX.CH.ZS,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD.ZG,NY.GDS.TOTL.ZS,SE.ADT.1524.LT.ZS,NV.IND.MANF.KD.ZG,SH.DYN.NMRT,SH.DYN.MORT,SP.POP.TOTL,SE.SEC.ENRL.TC.ZS,SE.PRM.ENRL.TC.ZS,EG.FEC.RNEW.ZS,AG.SRF.TOTL.K2,GC.TAX.TOTL.GD.ZS,NE.TRD.GNFS.ZS,SL.UEM.TOTL.NE.ZS,FP.WPI.TOTL
Afghanistan,2016,84.1371383666992,..,..,..,2.64374189312687,-10.87939183,86.5709321507136,33.214,..,..,..,..,6.747,43.30205,21.83389,..,..,19046357714.4928,2.2603142045464,4.95403313645523,..,1.08793953115092,40.3,70.4,34656032,42.68464,..,..,652860,..,47.6590554256105,..,..
Albania,2016,100,95.65855,3.19661056052152,3.361733691385,3.22728502181027,16.6463675,44.0015401014685,11.816,..,..,..,..,7.379,..,25.36938,23.9117146844842,..,11883682170.8236,3.35000000000005,7.45507035751882,..,4.29999999999986,6,9.1,2876101,12.22137,18.19844,..,28750,17.5571777277223,74.669259671744,..,..
Algeria,2016,99.439567565918,99.23121,-4.13398193588279,-5.8681049935129,4.4671956,35.52823676,53.9078874261101,23.132,..,..,..,..,4.765,..,..,..,..,160129866569.935,3.29999999975597,36.634345612344,..,6.02719147163479,15.2,24.5,40606052,..,24.2355,..,2381740,..,55.8922435232785,10.2024002075195,..
American Samoa,2016,..,..,..,..,11.760709,..,..,..,..,..,..,..,..,..,..,..,..,653000000,-2.61941448382126,..,..,..,..,..,55599,..,..,..,200,..,162.480857580398,..,..
Andorra,2016,100,..,..,..,2.44,..,..,8.8,..,..,..,..,4.3,21.50379,23.97025,..,..,2877311946.90265,1.8891243866394,..,..,..,1.5,3.4,77281,7.94434,10.06635,..,470,..,..,..,..
Angola,2016,40.5206069946289,..,2.61501393452414,-0.783082867159763,3.57,3.061930884,97.2742116775173,41.819,..,..,..,..,8.513,..,..,17.5116635350998,..,101123851090.473,-2.58009724295775,30.0935222813957,..,11.6381105550182,29.9,84.6,28813463,26.76619,..,..,1246700,9.73251223441435,53.3701552785783,..,..
Antigua and Barbuda,2016,97.3546676635742,..,..,..,2.25,..,44.8183369909778,16.225,..,..,..,..,5.788,..,..,..,..,1464630213.33333,5.58973913496703,..,..,6.31662784567177,4,7.7,100963,..,..,..,440,..,88.4585435805627,..,..
Argentina,2016,100,99.34152,-2.17217102244308,-3.13079491756399,5.05731390486252,13.96123633,56.5422464275751,17.172,..,..,..,..,7.564,30.07402,40.93612,26.3059150177128,..,554860945013.62,-1.82254217028903,16.0727734450585,99.5027099999999,-5.19941824629092,6.3,10.9,43847430,..,..,..,2780400,12.1555053704666,26.1219138061676,..,..
Armenia,2016,100,92.32759,-2.18266795532173,-2.44573788309273,2.70019284717504,15.86417449,44.8949433189816,13.456,..,..,..,..,9.688,20.66574,51.07427,25.7115181584805,..,10546135160.031,0.200000000000003,9.24953133265322,..,11.1000000000001,7,13.3,2924816,..,..,..,29740,21.2773752756378,75.9178800280663,..,..
Aruba,2016,95.5701446533203,..,..,..,5.77,..,44.6079986756246,10.974,..,..,..,..,8.762,..,..,..,..,2646927374.30168,-0.211225105612556,17.2224567327986,..,..,..,..,104822,..,..,..,180,..,144.470240607851,..,..
