Country,Happiness Score,Year,EG.ELC.ACCS.ZS,SE.PRM.TENR,NY.ADJ.NNTY.KD.ZG,NY.ADJ.AEDU.GN.ZS,NY.ADJ.ICTR.GN.ZS,SP.POP.DPND,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SE.XPD.SECO.ZS,GC.XPN.TOTL.GD.ZS,SH.XPD.EHEX.CH.ZS,NY.GDP.MKTP.CD,NY.GDS.TOTL.ZS,SE.ADT.1524.LT.ZS,SH.DYN.NMRT,SH.DYN.MORT,SE.SEC.ENRL.TC.ZS,SE.PRM.ENRL.TC.ZS,EG.FEC.RNEW.ZS,AG.SRF.TOTL.K2,GC.TAX.TOTL.GD.ZS,NE.TRD.GNFS.ZS,SL.UEM.TOTL.NE.ZS,FP.WPI.TOTL
Afghanistan,3.79399991,2017,0,0,0,0,0,84.58727797,0,0,22.25369,0,0,19543976895,7.155705365,0,39.2,67.9,38.66756,44.00995,0,652860,0,51.2368808,0,0
Albania,4.644000053,2017,0,97.06175,0,0,0,44.05950571,0,0,18.62398,23.83315131,0,13038538300,8.594127322,0,6.1,8.8,11.60265,17.94478,0,28750,18.86023507,78.08145608,13.75,0
Algeria,5.872000217,2017,0,99.44293,0,0,0,55.02821663,0,0,0,0,0,1.68E+11,37.53614081,0,14.9,24,0,24.22505,0,2381740,0,56.14035208,13.56999969,0
Angola,3.795000076,2017,0,0,0,0,0,96.89851806,0,0,0,16.67113715,0,1.22E+11,29.88168324,0,29.1,81.1,0,0,0,1246700,9.223777454,52.25682145,0,0
Argentina,6.598999977,2017,0,0,0,0,0,56.45476468,0,0,0,24.52265152,0,6.37E+11,15.98230204,0,5.9,10.4,0,0,0,2780400,11.04780108,25.02083649,8.347399712,0
Armenia,4.375999928,2017,0,92.39764,0,0,0,45.43154526,0,0,0,22.61181188,0,11536590636,8.433638124,0,6.7,12.6,0,0,0,29740,20.76420393,86.86809418,17.7045002,0
Australia,7.28399992,2017,0,0,0,0,0,52.70933633,0,0,0,26.70670715,0,1.32E+12,24.63612511,0,2.1,3.5,0,0,0,7741220,22.21317996,41.89297006,5.593800068,0
Austria,7.006000042,2017,0,0,0,0,0,49.90963775,0,0,0,0,0,4.17E+11,28.3679887,0,2.2,3.6,0,0,0,83879.00391,0,104.7077719,5.499000072,0
Azerbaijan,5.234000206,2017,0,94.05446,0,0,0,41.43318255,0,0,0,0,0,40747792238,30.8608671,0,11.8,23,7.3865,15.458,0,86600,0,90.6635907,5,0
Bahrain,6.086999893,2017,0,98.86201,0,0,0,28.35954129,0,0,0,0,0,35307127660,0,0,3.1,7.3,10.1467,12.15924,0,778.0000305,0,0,0,0
Bangladesh,4.607999802,2017,0,95.14922,0,0,0,50.30406155,0,0,0,0,0,2.50E+11,25.32925144,92.95076,18.4,32.4,33.98251,30.05456,0,147630,0,35.30400009,4.372300148,0
Belarus,5.568999767,2017,0,96.0131,0,0,0,46.07265566,0,0,50.45858,29.47468124,0,54456465473,30.51568931,0,1.5,3.7,8.17537,18.80255,0,207600,13.0869724,134.1053622,5.650000095,0
Belgium,6.890999794,2017,0,0,0,0,0,55.43842614,0,0,0,0,0,4.93E+11,25.32947427,0,2.1,3.8,0,0,0,30530,0,169.4027115,7.086200237,0
Belize,5.955999851,2017,0,99.2738,0,0,0,54.49616111,0,0,40.98796,0,0,1862614800,14.11735266,0,8.8,14.2,16.5581,19.58631,0,22970,0,111.8271019,6.595499992,0
Benin,3.657000065,2017,0,97.03366,0,0,0,84.88576752,0,0,0,0,0,9246696924,10.84084725,0,32.7,98.3,0,43.56977,0,114760,0,67.57712844,0,0
Bhutan,5.011000156,2017,0,81.94659,0,0,0,45.84616274,0,0,0,0,0,2528007911,30.79734057,0,16.9,30.8,11.0089,34.56294,0,38393.99902,0,78.64533616,0,0
Bolivia,5.822999954,2017,0,92.50107,0,0,0,62.18882415,0,0,0,0,0,37508642113,15.32392205,0,18.5,34.9,20.58499,18.76043,0,1098580,0,56.70465284,3.232800007,0
Bosnia and Herzegovina,5.18200016,2017,0,0,0,0,0,44.29692518,0,0,0,0,0,18054854789,1.164995526,0,4,5.7,9.34286,17.19917,0,51210,0,94.56673835,20.46999931,0
Botswana,3.766000032,2017,0,0,0,0,0,54.67244682,0,0,0,26.05000658,0,17406565823,33.05326363,0,25.4,37.6,0,0,0,581730,22.14413374,73.75534162,0,0
Brazil,6.635000229,2017,0,0,0,0,0,43.47103625,0,0,0,34.89634655,0,2.06E+12,16.51821159,0,8.5,14.8,0,0,0,8515770,12.69293106,24.11975695,12.82730007,0
Bulgaria,4.714000225,2017,0,0,0,0,0,53.93498436,0,0,0,0,0,58220973783,23.74782888,0,3.7,7.5,0,0,0,111000,0,131.0759334,6.164400101,0
Burkina Faso,4.032000065,2017,0,77.00493,0,0,0,90.80342419,0,0,0,21.11443847,0,12322864245,17.22058723,0,25.4,81.2,23.33086,40.68126,0,274220,17.42699888,52.34069405,0,0
Burundi,2.904999971,2017,0,97.31768,0,0,0,90.68281654,0,0,0,0,0,3172416146,0,0,22.1,61.2,28.02967,49.61434,0,27830,0,0,0,0
Cambodia,4.168000221,2017,0,90.56157,0,0,0,55.49875172,0,0,0,0,0,22158209503,21.41773267,0,14.9,29.2,0,41.66267,0,181040,0,124.8947247,0,0
Cameroon,4.695000172,2017,0,95.20049,0,0,0,84.8091302,0,0,0,0,0,34922782311,18.90772513,0,25.5,84,0,44.61321,0,475440,0,41.18996694,0,0
Canada,7.315999985,2017,0,0,0,0,0,49.27459168,0,0,0,17.31165282,0,1.65E+12,21.41585874,0,3.5,5.1,0,0,0,9984670,12.15184126,64.06265296,6.339700222,0
Central African Republic,2.693000078,2017,0,0,0,0,0,88.14903538,0,0,0,0,0,1949411659,-1.58899556,0,41.5,121.5,31.63737,0,0,622980,0,44.29288772,0,0
Chad,3.936000109,2017,0,0,0,0,0,98.52473413,0,0,0,0,0,9871247732,14.61717717,0,34.8,123.2,0,0,0,1284000,0,74.35348068,0,0
Chile,6.65199995,2017,0,0,0,0,0,45.77945716,0,0,0,22.4150112,0,2.77E+11,23.76386064,0,5,7.4,0,0,0,756700,17.46087268,55.69508073,6.958099842,0
China,5.272999763,2017,0,0,0,0,0,39.50542145,0,0,0,0,0,1.22E+13,47.35318533,0,4.7,9.3,13.30917,16.59383,0,9562910,0,37.8033996,3.900000095,0
Colombia,6.356999874,2017,0,93.68701,0,0,0,45.192274,0,0,38.72857,0,0,3.14E+11,17.00186404,0,8,14.7,26.01138,23.60132,0,1141748.984,0,34.25836415,8.87250042,0
Costa Rica,7.078999996,2017,0,0,0,0,0,45.16926954,0,0,31.69431,0,0,57285984448,18.45702703,0,5.9,9,0,0,0,51100,0,66.26461525,0,0
Croatia,5.293000221,2017,0,0,0,0,0,52.46878062,0,0,0,0,0,55213087271,23.17502991,0,2.9,4.6,0,0,0,56590,0,99.92492381,11.20810032,0
Cyprus,5.620999813,2017,0,0,0,0,0,43.36200044,0,0,0,0,0,22054225828,16.71500369,0,1.6,2.7,0,0,0,9250,0,133.5747119,11.05150032,0
Czech Republic,6.609000206,2017,0,0,0,0,0,52.4413257,0,0,0,0,0,2.16E+11,33.55036574,0,1.7,3.3,0,0,0,78870,0,151.696097,2.889800072,0
Denmark,7.521999836,2017,0,0,0,0,0,56.64762421,0,0,0,0,0,3.25E+11,28.06351234,0,3.1,4.3,0,0,0,42920,0,103.3619956,5.7427001,0
Dominican Republic,5.230000019,2017,0,0,0,0,0,56.93447318,0,0,0,16.85969928,0,75931656815,18.57302119,0,20.1,29.9,0,0,0,48670,13.71421056,52.92070145,5.831699848,0
Ecuador,6.007999897,2017,0,97.90291,0,0,0,55.13811563,0,0,0,0,0,1.04E+11,25.52417372,0,7.5,14.5,21.94529,25.09592,0,256370,0,42.42172139,3.836199999,0
El Salvador,6.002999783,2017,0,81.29945,0,0,0,55.4010795,0,0,0,25.01801033,0,24805439600,-0.382780558,0,7.1,14.5,27.82175,28.27102,0,21040,17.87810771,72.54791808,4.385000229,0
Estonia,5.611000061,2017,0,0,0,0,0,55.81105298,0,0,0,0,0,25921079612,28.42082021,0,1.2,2.7,0,0,0,45340,0,151.5808485,5.760399818,0
Ethiopia,4.460000038,2017,0,0,0,0,0,78.82648829,0,0,0,0,0,80561496134,24.142006,0,28.9,58.5,0,0,0,1104300,0,31.45064694,0,0
